Branch,Region,District,BranchDesc,lon,lat
CA11,Canada,Eastern Canada,Halifax,-63.5753196,44.6488625
CA12,Canada,Eastern Canada,New Foundland,-52.71283,47.560539
CA13,Canada,Eastern Canada,New Brunswick,-74.4518188,40.4862157
CA21,Canada,Eastern Canada,Quebec,-73.5491361,52.9399159
CA22,Canada,Eastern Canada,Sherbrooke,-71.8824288,45.4009928
CA25,Canada,Eastern Canada,Montreal,-73.567256,45.5016889
CA31,Canada,Central Canada,Ottawa,-75.6971931,45.4215296
CA32,Canada,Central Canada,Kingston,-76.4859544,44.2311717
CA34,Canada,Central Canada,Toronto,-79.3831843,43.653226
CA36,Canada,Central Canada,Hamilton,-84.5613355,39.3995008
CA39,Canada,Western Canada,Thunder Bay,-89.2476823,48.3808951
CA41,Canada,Western Canada,Winnipeg,-97.1374937,49.8997541
CA42,Canada,Western Canada,Regina,-104.6188944,50.4452112
CA43,Canada,Western Canada,Edmonton,-113.4909267,53.544389
CA44,Canada,Western Canada,Calgary,-114.0708459,51.0486151
CA45,Canada,Western Canada,Kelowna,-119.4960106,49.8879519
CA46,Canada,Western Canada,Vancouver,-122.6614861,45.6387281
CA48,Canada,Western Canada,Victoria,-97.0035982,28.8052674
US020,North,North Central,Chicago,-87.6297982,41.8781136
US020M,North,North Central,Chicago,-87.6297982,41.8781136
US023,North,North Central,Chicago,-87.6297982,41.8781136
US023M,North,North Central,Chicago,-87.6297982,41.8781136
US024,North,North Central,Milwaukee,-87.9064736,43.0389025
US024M,North,North Central,Milwaukee,-87.9064736,43.0389025
US030,North,Great Plains,Kansas City,-94.5785667,39.0997265
US030M,North,Great Plains,Kansas City,-94.5785667,39.0997265
US031,North,Great Plains,Kansas City,-94.5785667,39.0997265
US031M,North,Great Plains,Kansas City,-94.5785667,39.0997265
US032,North,Great Plains,St. Louis,-90.1994042,38.6270025
US032M,North,Great Plains,St. Louis,-90.1994042,38.6270025
US033,North,Great Plains,Springfield,-93.2922989,37.2089572
US033M,North,Great Plains,Springfield,-93.2922989,37.2089572
US034,North,Great Plains,Kansas City,-94.5785667,39.0997265
US034M,North,Great Plains,Kansas City,-94.5785667,39.0997265
US036,North,Great Plains,Springfield,-93.2922989,37.2089572
US036M,North,Great Plains,Springfield,-93.2922989,37.2089572
US040,North,North Central,Peoria,-112.2373779,33.5805955
US040M,North,North Central,Peoria,-112.2373779,33.5805955
US041,North,North Central,Central Illinois,-87.6235719,41.8802802
US041M,North,North Central,Central Illinois,-87.6235719,41.8802802
US042,North,North Central,Peoria,-112.2373779,33.5805955
US042M,North,North Central,Peoria,-112.2373779,33.5805955
US043,North,North Central,Peoria,-112.2373779,33.5805955
US043M,North,North Central,Peoria,-112.2373779,33.5805955
US044,North,North Central,Peoria,-112.2373779,33.5805955
US044M,North,North Central,Peoria,-112.2373779,33.5805955
US045,North,North Central,Peoria,-112.2373779,33.5805955
US045M,North,North Central,Peoria,-112.2373779,33.5805955
US047,North,North Central,Peoria,-112.2373779,33.5805955
US047M,North,North Central,Peoria,-112.2373779,33.5805955
US048,North,North Central,Central Illinois,-87.6235719,41.8802802
US048M,North,North Central,Central Illinois,-87.6235719,41.8802802
US050,West,Mountain West,Portland,-122.6764816,45.5230622
